src,dest
Léon-Gontran Damas,René Depestre
André Breton,René Depestre
Alain Mabanckou,René Depestre
Guillaume Apollinaire,Max Jacob
Jean Cocteau,Max Jacob
Alfred de Musset,Edgar Quinet
Alfred de Vigny,Edgar Quinet
Charles Nodier,Edgar Quinet
Edgar Quinet,François-René de Chateaubriand
Charles Baudelaire,Edgar Quinet
Paul Verlaine,Robert de Montesquiou
Alphonse Daudet,Robert de Montesquiou
Marceline Desbordes-Valmore,Robert de Montesquiou
Anna de Noailles,Robert de Montesquiou
Robert de Montesquiou,Stéphane Mallarmé
Molière,Nicolas Boileau
Charles Perrault,Nicolas Boileau
Jean Racine,Nicolas Boileau
François de Malherbe,Nicolas Boileau
Charles Aznavour,Serge Venturini
René Char,Serge Venturini
Abdellatif Laâbi,Serge Venturini
Serge Venturini,Yves Bonnefoy
Arthur Rimbaud,Serge Venturini
Pierre Reverdy,Serge Venturini
Alphonse de Lamartine,Leconte de Lisle
Judith Gautier,Leconte de Lisle
José-Maria de Heredia,Leconte de Lisle
Leconte de Lisle,Pierre-Jean de Béranger
Leconte de Lisle,Robert de Montesquiou
Alfred de Vigny,Leconte de Lisle
Charles Baudelaire,Leconte de Lisle
Leconte de Lisle,Pierre Corneille
Pierre François Lacenaire,Théophile Gautier
Jacques Prévert,Pierre François Lacenaire
Alfred de Musset,Alfred de Vigny
Alfred de Musset,Charles Nodier
Alfred de Musset,François-René de Chateaubriand
Alfred de Musset,Arthur Rimbaud
Alfred de Musset,Charles Baudelaire
Marceline Desbordes-Valmore,Paul Verlaine
Marceline Desbordes-Valmore,Pierre-Augustin Caron de Beaumarchais
Jean Cocteau,Maurice Rostand
Maurice Rostand,Rosemonde Gérard
Paul Claudel,Victor Segalen
Henry de Montherlant,Paul Claudel
Charles Péguy,Paul Claudel
Paul Claudel,Saint-John Perse
Paul Claudel,Stéphane Mallarmé
Arthur Rimbaud,Paul Claudel
Jean Racine,Paul Claudel
Jean-Pierre Claris de Florian,Voltaire
Hervé Bazin,Paul Valéry
François Villon,Hervé Bazin
Francis Carco,Hervé Bazin
Catulle Mendès,Théophile Gautier
Félix Leclerc,Gilles Vigneault
Léopold Sédar Senghor,Tahar Ben Jelloun
Georges Duhamel,Tahar Ben Jelloun
Jacques Laurent,Tahar Ben Jelloun
Philippe Jaccottet,Tahar Ben Jelloun
Hervé Le Tellier,Tahar Ben Jelloun
Tahar Ben Jelloun,Éric Vuillard
Tahar Ben Jelloun,Tahar Djaout
René Maran,Tahar Ben Jelloun
Béatrix Beck,Tahar Ben Jelloun
Guillaume Apollinaire,Remy de Gourmont
Pierre de Ronsard,Théodore Agrippa d'Aubigné
Guillaume Apollinaire,Paul Valéry
Guillaume Apollinaire,Maurice Maeterlinck
Guillaume Apollinaire,Léo Ferré
Guillaume Apollinaire,Jean Cocteau
Guillaume Apollinaire,Marie Laurencin
Guillaume Apollinaire,Stéphane Mallarmé
Guillaume Apollinaire,Philippe Soupault
Arthur Rimbaud,Guillaume Apollinaire
André Breton,Guillaume Apollinaire
Guillaume Apollinaire,Pierre Reverdy
